Program Time [s],data 0,data 1
54.2499,0,0
54.2598,0,0
54.2698,0,0
54.2798,0,0
54.2898,0,0
54.2998,0,0
54.3097,0,0
54.3197,0,0
54.3297,0,0
54.3397,0,0
54.3497,0,0
54.3595,0,0
54.3695,0,0
54.3795,0,0
54.3895,0,0
54.3994,0,0
54.4094,0,0
54.4194,0,0
54.4294,0,0
54.4394,0,0
54.4493,0,0
54.4593,0,0
54.4693,0,0
54.4793,0,0
54.4893,0,0
54.4992,0,0
54.5092,0,0
54.5192,0,0
54.5292,0,0
54.5392,0,0
54.549,0,0
54.559,0,0
54.569,0,0
54.579,0,0
54.589,0,0
54.5989,0,0
54.6089,0,0
54.6189,0,0
54.6289,0,0
54.6389,0,0
54.6488,0,0
54.6588,0,0
54.6688,0,0
54.6788,0,0
54.6888,0,0
54.6987,0,0
54.7087,0,0
54.7187,0,0
54.7287,0,0
54.7387,0,0
54.7485,0,0
54.7585,0,0
54.7686,0,0
54.7786,0,0
54.7886,0,0
54.7984,0,0
54.8084,0,0
54.8184,0,0
54.8284,0,0
54.8384,0,0
54.8484,0,0
54.8583,0,0
54.8683,0,0
54.8783,0,0
54.8883,0,0
54.8983,0,0
54.9082,0,0
54.9182,0,0
54.9282,0,0
54.9382,0,0
54.9482,0,0
54.9581,0,0
54.9681,0,0
54.978,0,0
54.9881,0,0
54.9981,0,0
55.0079,0,0
55.0179,0,0
55.0279,0,0
55.0379,0,0
55.0479,0,0
55.0579,0,0
55.0678,0,0
55.0778,0,0
55.0878,0,0
55.0978,0,0
55.1077,0,0
55.1177,0,0
55.1277,0,0
55.1377,0,0
55.1477,0,0
55.1576,0,0
55.1675,0,0
55.1776,0,0
55.1876,0,0
55.1975,0,0
55.2074,0,0
55.2174,0,0
55.2274,0,0
55.2374,0,0
55.2474,0,0
55.2573,0,0
55.2673,0,0
55.2773,0,0
55.2873,0,0
55.2973,0,0
55.3072,0,0
55.3172,0,0
55.3272,0,0
55.3372,0,0
55.3472,0,0
55.357,0,0
55.3671,0,0
55.3771,0,0
55.387,0,0
55.397,0,0
55.407,0,0
55.4169,0,0
55.4269,0,0
55.4369,0,0
55.4469,0,0
55.4569,0,0
55.4668,0,0
55.4768,0,0
55.4868,0,0
55.4968,0,0
55.5068,0,0
55.5167,0,0
55.5267,0,0
55.5367,0,0
55.5467,0,0
55.5567,0,0
55.5666,0,0
55.5766,0,0
55.5865,0,0
55.5966,0,0
55.6066,0,0
55.6164,0,0
55.6264,0,0
55.6364,0,0
55.6464,0,0
55.6564,0,0
55.6663,0,0
55.6763,0,0
55.6863,0,0
55.6963,0,0
55.7063,0,0
55.7162,0,0
55.7262,0,0
55.7362,0,0
55.7462,0,0
55.7562,0,0
55.7661,0,0
55.776,0,0
55.7861,0,0
55.796,0,0
55.806,0,0
55.8159,0,0
55.8259,0,0
55.8359,0,0
55.8459,0,0
55.8559,0,0
55.8658,0,0
55.8758,0,0
55.8858,0,0
55.8958,0,0
55.9058,0,0
55.9157,0,0
55.9257,0,0
55.9357,0,0
55.9457,0,0
55.9557,0,0
55.9655,0,0
55.9755,0,0
55.9855,0,0
55.9955,0,0
56.0055,0,0
56.0154,0,0
56.0254,0,0
56.0354,0,0
56.0454,0,0
56.0554,0,0
56.0653,0,0
56.0753,0,0
56.0853,0,0
56.0953,0,0
56.1053,0,0
56.1152,0,0
56.1252,0,0
56.1352,0,0
56.1452,0,0
56.1552,0,0
56.1651,0,0
56.1751,0,0
56.185,0,0
56.1951,0,0
56.2051,0,0
56.2149,0,0
56.2249,0,0
56.2349,0,0
56.2449,0,0
56.2549,0,0
56.2648,0,0
56.2748,0,0
56.2848,0,0
56.2948,0,0
56.3048,0,0
56.3147,0,0
56.3247,0,0
56.3347,0,0
56.3447,0,0
56.3547,0,0
56.3645,0,0
56.3745,0,0
56.3845,0,0
56.3946,0,0
56.4044,0,0
56.4144,0,0
56.4244,0,0
56.4344,0,0
56.4444,0,0
56.4543,0,0
56.4643,0,0
56.4743,0,0
56.4843,0,0
56.4943,0,0
56.5043,0,0
56.5142,0,0
56.5242,0,0
56.5342,0,0
56.5442,0,0
56.5542,0,0
56.5641,0,0
56.5741,0,0
56.5841,0,0
56.5941,0,0
56.6041,0,0
56.6139,0,0
56.6239,0,0
56.6339,0,0
56.6439,0,0
56.6539,0,0
56.6638,0,0
56.6738,0,0
56.6838,0,0
56.6938,0,0
56.7038,0,0
56.7137,0,0
56.7237,0,0
56.7337,0,0
56.7437,0,0
56.7537,0,0
56.7636,0,0
56.7735,0,0
56.7836,0,0
56.7936,0,0
56.8034,0,0
56.8134,0,0
56.8234,0,0
56.8334,0,0
56.8434,0,0
56.8533,0,0
56.8633,0,0
56.8733,0,0
56.8833,0,0
56.8933,0,0
56.9032,0,0
56.9132,0,0
56.9232,0,0
56.9332,0,0
56.9432,0,0
56.953,0,0
56.963,0,0
56.973,0,0
56.983,0,0
56.993,0,0
57.0029,0,0
57.0129,0,0
57.0229,0,0
57.0329,0,0
57.0429,0,0
57.0528,0,0
57.0628,0,0
57.0728,0,0
57.0828,0,0
57.0928,0,0
57.1027,0,0
57.1127,0,0
57.1227,0,0
57.1327,0,0
57.1427,0,0
57.1525,0,0
57.1625,0,0
57.1726,0,0
57.1825,0,0
57.1926,0,0
57.2024,0,0
57.2124,0,0
57.2224,0,0
57.2324,0,0
57.2424,0,0
57.2523,0,0
57.2623,0,0
57.2723,0,0
57.2823,0,0
57.2923,0,0
57.3022,0,0
57.3122,0,0
57.3222,0,0
57.3322,0,0
57.3422,0,0
57.3521,0,0
57.362,0,0
57.3721,0,0
57.3821,0,0
57.3919,0,0
57.4019,0,0
57.4119,0,0
57.4219,0,0
57.4319,0,0
57.4418,0,0
57.4518,0,0
57.4618,0,0
57.4718,0,0
57.4818,0,0
57.4918,0,0
57.5017,0,0
57.5117,0,0
57.5217,0,0
57.5317,0,0
57.5417,0,0
57.5516,0,0
57.5616,0,0
57.5715,0,0
57.5816,0,0
57.5916,0,0
57.6016,0,0
57.6114,0,0
57.6214,0,0
57.6314,0,0
57.6414,0,0
57.6514,0,0
57.6613,0,0
57.6713,0,0
57.6813,0,0
57.6913,0,0
57.7013,0,0
57.7113,0,0
57.7212,0,0
57.7312,0,0
57.7412,0,0
57.7512,0,0
57.7612,0,0
57.771,0,0
57.781,0,0
57.791,0,0
57.801,0,0
57.8111,0,0
57.821,0,0
57.8309,0,0
57.8409,0,0
57.8509,0,0
57.8609,0,0
57.8709,0,0
57.8808,0,0
57.8908,0,0
57.9008,0,0
57.9108,0,0
57.9208,0,0
57.9307,0,0
57.9407,0,0
57.9507,0,0
57.9607,0,0
57.9707,0,0
57.9807,0,0
57.9906,0,0
58.0006,0,0
58.0106,0,0
58.0206,0,0
58.0306,0,0
58.0404,0,0
58.0504,0,0
58.0604,0,0
58.0704,0,0
58.0804,0,0
58.0903,0,0
58.1003,0,0
58.1103,0,0
58.1203,0,0
58.1303,0,0
58.1402,0,0
58.1502,0,0
58.1602,0,0
58.1702,0,0
58.1802,0,0
58.1901,0,0
58.2001,0,0
58.2101,0,0
58.2201,0,0
58.2301,0,0
58.2401,0,0
58.2499,0,0
58.2599,0,0
58.2699,0,0
58.2799,0,0
58.2899,0,0
58.2998,0,0
58.3098,0,0
